Length (um),Active Force (N/cm^2)
numeric,numeric
3.632656695,1.802568153
3.60752849,1.438321153
3.568041311,1.893629903
3.532143875,3.441679653
3.514195157,2.804247403
3.474707977,3.350617903
3.323938746,6.993087903
3.302400285,6.446717403
3.288041311,7.539458403
3.122913105,10.2713109
3.0977849,10.4534344
3.08701567,10.54449615
2.921887464,15.3707689
2.896759259,15.09758365
2.889579772,14.73333665
2.699323362,19.0132389
2.699323362,18.37580665
2.699323362,18.01155965
2.631118234,20.1059799
2.595220798,20.92553565
2.440861823,23.3842029
2.318810541,24.75012915
2.281251727,24.72294255
2.231348439,25.18652964
2.200349003,25.29649965
2.181445151,25.51289495
2.132122133,25.49064277
2.094382022,25.39985887
2.081638574,25.4609732
2.078297721,25.3875614
2.063820225,25.39985887
2.033258427,25.09450211
2.031155015,25.13089919
2.024269663,25.33878752
1.982921348,24.78914534
1.981251727,24.74890343
1.943370787,24.66700264
1.900224719,24.17843181
1.867865169,24.17843181
1.866067416,24.66700264
1.855280899,23.32343286
1.853483146,23.62878963
1.851685393,24.11736046
1.792359551,23.20129016
1.724044944,23.1402188
1.724044944,22.59057662
1.720449438,21.73557768
1.711460674,21.12486414
1.684494382,20.94165008
1.652134831,19.84236573
1.619775281,17.94915377
1.583820225,17.64379701
1.583820225,16.54451265
1.582022472,18.13236783
1.549662921,13.79630175
1.549662921,13.42987363
1.51011236,13.00237416
1.45258427,11.47559032
1.45258427,10.92594814
1.443595506,8.849522132
1.378876404,2.68131545
1.378876404,2.31488733
1.319550562,5.002026875
1.319550562,4.574527402
